ind	pop
409682	Saguenay
409687	Saguenay
868387	Saguenay
717537	Saguenay
302711	Saguenay
302716	Saguenay
868572	Saguenay
717634	Saguenay
409808	Saguenay
718567	Saguenay
677273	Saguenay
717709	Saguenay
302717	Saguenay
219947	Saguenay
288708	Saguenay
454422	Saguenay
302718	Saguenay
218089	Saguenay
302710	Saguenay
217891	Saguenay
288764	Saguenay
453612	Saguenay
408319	Gaspesia-Acadian
408480	Gaspesia-Acadian
408920	Gaspesia-Acadian
408926	Gaspesia-Acadian
408475	Gaspesia-Loyalist
408477	Gaspesia-Loyalist
408790	Gaspesia-Loyalist
409098	Gaspesia-Loyalist
409100	Gaspesia-Loyalist
409032	Gaspesia-Loyalist
408992	Gaspesia-Loyalist
409031	Gaspesia-Loyalist
409215	Gaspesia-Loyalist
409266	Gaspesia-Loyalist
409437	Gaspesia-Loyalist
409434	Gaspesia-Loyalist
409422	Gaspesia-Loyalist
409349	Gaspesia-Loyalist
408769	Gaspesia-Loyalist
409033	Gaspesia-Acadian
409153	Gaspesia-Loyalist
409282	Gaspesia-Loyalist
408062	Gaspesia-FrenchCanadian
408372	Gaspesia-FrenchCanadian
408364	Gaspesia-FrenchCanadian
408366	Gaspesia-FrenchCanadian
408375	Gaspesia-FrenchCanadian
408388	Gaspesia-FrenchCanadian
408426	Gaspesia-FrenchCanadian
676521	Gaspesia-FrenchCanadian
408427	Gaspesia-FrenchCanadian
408396	Gaspesia-FrenchCanadian
408393	Gaspesia-FrenchCanadian
408394	Gaspesia-FrenchCanadian
408691	Gaspesia-FrenchCanadian
408917	Gaspesia-FrenchCanadian
408923	Gaspesia-FrenchCanadian
409054	Gaspesia-FrenchCanadian
408950	Gaspesia-FrenchCanadian
408937	Gaspesia-FrenchCanadian
409092	Gaspesia-FrenchCanadian
409041	Gaspesia-FrenchCanadian
409288	Gaspesia-Loyalist
409259	Gaspesia-Loyalist
409263	Gaspesia-Loyalist
408758	Gaspesia-Acadian
408728	Gaspesia-Acadian
408868	Gaspesia-Acadian
408828	Gaspesia-Acadian
408911	Gaspesia-Acadian
409082	Gaspesia-Acadian
409103	Gaspesia-Acadian
409086	Gaspesia-Acadian
409095	Gaspesia-Acadian
409084	Gaspesia-Acadian
409091	Gaspesia-Acadian
409154	Gaspesia-Acadian
409111	Gaspesia-Acadian
409147	Gaspesia-Acadian
409124	Gaspesia-Acadian
416134	NorthShore
416124	NorthShore
416140	NorthShore
416118	NorthShore
416130	NorthShore
416144	NorthShore
416147	NorthShore
416150	NorthShore
416162	NorthShore
416163	NorthShore
416852	NorthShore
416961	NorthShore
416965	NorthShore
416861	NorthShore
416973	NorthShore
416829	NorthShore
416955	NorthShore
417018	NorthShore
417148	NorthShore
417662	NorthShore
416925	Montreal
417187	Montreal
416915	Montreal
417184	Montreal
417663	Montreal
417181	Montreal
417179	Montreal
417170	Montreal
417169	Montreal
417168	Montreal
430148	Montreal
430152	Montreal
416899	Montreal
417164	Montreal
417890	Montreal
417234	Montreal
430056	Montreal
419335	Montreal
417882	Montreal
419332	Montreal
419329	Montreal
430101	Montreal
444295	Quebec
443169	Quebec
443151	Quebec
443149	Quebec
443154	Quebec
443157	Quebec
443155	Quebec
443152	Quebec
802424	Quebec
443163	Quebec
444293	Quebec
443161	Quebec
443159	Quebec
443165	Quebec
443167	Quebec
444292	Quebec
